mp;mpomsch;x;y;gebied;gebiednaam;meetpunttypering;opmerking;krw_type_dawaco;adres;adres_afst;adres_pc;adres_straat;bbg_2015;bodem_code;bodem_grof;bodem_omsch;c12;c50;gemeente;internet;krw_type;landgebruik;lat;leg_breedte;leg_cat;leg_diepte;leg_talud_l;leg_talud_r;lgn2018;lgn2018_agg;lgn2018_perc;lgn2020;lgn2020_agg;lgn2020_perc;lgn2023;lgn2023_agg;lgn2023_perc;long;mp_type;mp_vervallen;ovw_code;ovw_naam;ovw_type;plaatsnaam;problemen;wl_code;wl_naam;wl_type;na
10001;Kralingseplas,noordzijde,midden,langs Langepad;95236;439398;SCHIEL;Schieland;1;incidenteel meetpunt (project 2010);M14;Plaszoom 500 Rotterdam;26,0000;3062CL;Plaszoom;Water | Water met recreatieve functie;|g WATER;Water;Water;;;Rotterdam;;M14;grote plassen;51,93982414;846,06;overig;2,00;0,0;0,0;zoet water;water;75;zoet water;water;75;zoet water;water;75;4,51807283;Regulier;;;;;Rotterdam;;NL39_08a;Kralingse Plas;M14;
10002;Kralingseplas,buitenkant stortbak,NO zijde,Plaszoo;95604;439124;SCHIEL;Schieland;1;incidenteel meetpunt (project 2010);M14;Plaszoom 500 Rotterdam;26,0000;3062CL;Plaszoom;Water | Water met recreatieve functie;|g WATER;Water;Water;;;Rotterdam;;M14;grote plassen;51,93740103;846,06;overig;2,00;0,0;0,0;zoet water;water;95;zoet water;water;95;zoet water;water;95;4,52347132;Regulier;;;;;Rotterdam;;NL39_08a;Kralingse Plas;M14;
10003;Kralingseplas,binnenkant stortbak,NO zijde,Plaszoo;95662;439109;SCHIEL;Schieland;1;Incidenteel meetpunt (project 2010);M14;Plaszoom 500 Rotterdam;26,0000;3062CL;Plaszoom;Water | Water met recreatieve functie;|g WATER;Water;Water;;;Rotterdam;;M14;grote plassen;51,93727241;846,06;overig;2,00;0,0;0,0;zoet water;water;69;zoet water;water;69;zoet water;water;70;4,52431725;Regulier;;;;;Rotterdam;;NL39_08a;Kralingse Plas;M14;
10004;Kralingseplas,buitenkant stortbak,Oost,Plaszoom;95539;438971;SCHIEL;Schieland;1;Incidenteel meetpunt (project 2010);M14;Plaszoom 500 Rotterdam;26,0000;3062CL;Plaszoom;Water | Water met recreatieve functie;|g WATER;Water;Water;;;Rotterdam;;M14;grote plassen;51,93601901;846,06;overig;2,00;0,0;0,0;zoet water;water;94;zoet water;water;94;zoet water;water;95;4,52255267;Regulier;;;;;Rotterdam;;NL39_08a;Kralingse Plas;M14;
10005;Kralingseplas,binnenkant stortbak,Oost,Plaszoom;95599;438954;SCHIEL;Schieland;1;Incidenteel meetpunt (project 2010);M14;Plaszoom 500 Rotterdam;26,0000;3062CL;Plaszoom;Water | Water met recreatieve functie;|g WATER;Water;Water;;;Rotterdam;;M14;grote plassen;51,93587263;846,06;overig;2,00;0,0;0,0;zoet water;water;66;zoet water;water;66;zoet water;water;67;4,52342800;Regulier;;;;;Rotterdam;;NL39_08a;Kralingse Plas;M14;
10006;Kralingseplas,buitenkant stortbak,ZO zijde,plaszoo;95455;438804;SCHIEL;Schieland;1;Incidenteel meetpunt (project 2010);M14;Plaszoom 362 Rotterdam;26,0000;3062CL;Plaszoom;Water | Water met recreatieve functie;|g WATER;Water;Water;;;Rotterdam;;M14;grote plassen;51,93450912;846,06;overig;2,00;0,0;0,0;zoet water;water;97;zoet water;water;97;zoet water;water;97;4,52136025;Regulier;;;;;Rotterdam;;NL39_08a;Kralingse Plas;M14;
10007;Kralingseplas,binnenkant stortbak,ZO zijde,Plaszoo;95517;438778;SCHIEL;Schieland;1;Incidenteel meetpunt (project 2010);M14;Plaszoom 364 Rotterdam;207,3976;3062CL;Plaszoom;Water | Water met recreatieve functie;|g WATER;Water;Water;;;Rotterdam;;M14;grote plassen;51,93428209;846,06;overig;2,00;0,0;0,0;zoet water;water;65;zoet water;water;64;zoet water;water;65;4,52226619;Regulier;;;;;Rotterdam;;NL39_08a;Kralingse Plas;M14;
10008;Kralingse Plas 150 m NNO van 00067;95102;439118;SCHIEL;Schieland;1;incidenteel meetpunt zooplankton(project 2018);M14;Plaszoom 500 Rotterdam;26,0000;3062CL;Plaszoom;Water | Water met recreatieve functie;|g WATER;Water;Water;;;Rotterdam;;M14;grote plassen;51,93729325;846,06;overig;2,00;0,0;0,0;zoet water;water;100;zoet water;water;100;zoet water;water;100;4,51617313;Regulier;;;;;Rotterdam;;NL39_08a;Kralingse Plas;M14;
EO 17;vanaf brug in Vlist, bij bushalte Bilwijkerweg;113757;444941;OVERIG;Buiten beheergebied;1;Buiten beheergebied;M10;West-Vlisterdijk 3 Haastrecht;38,8496;2851ES;West-Vlisterdijk;Water | Overig binnenwater;|g WATER;Water;Water;;Nijdvliet (Molenvliet);Krimpenerwaard;;M10;;51,99132576;5,36;overig;0,50;1,0;1,0;agrarisch gras;agrarisch gras;28;natuurgraslanden;natuurgraslanden;27;agrarisch gras;agrarisch gras;43;4,78673481;Regulier;;;;;Haastrecht;;NL39_OV;Overig water;;
EO 19;vanaf de Voornebrug te Schoonhoven;117860;441010;OVERIG;Buiten beheergebied;1;Buiten beheergebied;M10;Opweg 84 Schoonhoven;33,2415;2871NG;Opweg;Water | Overig binnenwater;|h BEBOUW;Bebouwd;Bebouwing;;Noord. wegsl. Kadijk Oost / Bovenberg;Krimpenerwaard;;M10;;51,95628411;3,94;primair;1,00;0,7;0,7;agrarisch gras;agrarisch gras;47;agrarisch gras;agrarisch gras;47;zoet water;stedelijk;17;4,84689437;Regulier;;;;;Vlist;;NL39_OV;Overig water;;
